78	78	77.1593095772	-0.8406904228
88.4	88.4	88.115967837	-0.284032163
150.4	150.4	154.4806953734	4.0806953734
204.3	204.3	197.212176515	-7.087823485
222.1	222.1	230.3795050995	8.2795050995
255.2	255.2	280.2833745836	25.0833745836
320.2	320.2	322.5355391764	2.3355391764
358.1	358.1	346.2023119559	-11.8976880441
364.9	364.9	363.9026944388	-0.9973055612
473.6	473.6	471.071415325	-2.528584675
503.5	503.5	501.7027486794	-1.7972513206
508.1	508.1	525.7010727186	17.6010727186
543.6	543.6	547.0270307113	3.4270307113
561.8	561.8	575.4834708709	13.6834708709
603.1	603.1	655.6490129422	52.5490129422


