51.714	51.714	51.1566222497	-0.5573777503
58.6092	58.6092	58.4208866759	-0.1883133241
99.7152	99.7152	102.4207010326	2.7055010326
135.4509	135.4509	130.7516730295	-4.6992269706
147.2523	147.2523	152.741611881	5.489311881
169.1976	169.1976	185.8278773489	16.6302773489
212.2926	212.2926	213.841062474	1.548462474
237.4203	237.4203	229.5321328268	-7.8881671732
241.9287	241.9287	241.2674864129	-0.6612135871
313.9968	313.9968	312.3203483605	-1.6764516395
333.8205	333.8205	332.6289223745	-1.1915776255
336.8703	336.8703	348.5398112124	11.6695112124
360.4068	360.4068	362.6789213616	2.2721213616
372.4734	372.4734	381.5455411874	9.0721411874
399.8553	399.8553	434.6952955807	34.8399955807

